node,x,y,z,shared_abs_p_pa,joint_abs_p_pa,complex_difference_percent_of_max
4125,-0.046203782373898786,-0.0,-0.08085661915432288,397.93341388072537,397.9160135904595,0.005103873017002647
4126,-0.046152754765853655,-0.005769094345731704,-0.0807673208402439,397.9590742923834,397.9645776127992,0.0030293211946842654
4127,-0.04599880414947542,-0.011499701037368852,-0.08049790726158199,398.13890676231745,398.13029464067046,0.004234171716588048
4128,-0.04573973287035792,-0.017152399826384213,-0.08004453252312636,398.4913765690228,398.4853995953501,0.0036964105291615408
4129,-0.04537308974037742,-0.0226865448701887,-0.07940290704566048,399.1081359413717,399.10451281461474,0.0032754425985362526
4130,-0.044897556491028716,-0.028060972806892934,-0.07857072385930026,400.0430308796323,400.0369213928917,0.002622526466628289
4131,-0.04431421519791545,-0.033235661398436575,-0.07754987659635205,401.2915440928646,401.28335191201353,0.0020959334454443827
4132,-0.04362735824423911,-0.03817393846370923,-0.07634787692741846,402.7911524866852,402.7849484390481,0.0012481428029099775
4133,-0.04284468830970889,-0.04284468830970889,-0.07497820454199057,404.4510654842004,404.42914969087246,0.003978618214539496
4134,-0.0419769472566892,-0.04722406566377534,-0.0734596576992061,406.05048365083417,406.08365952317786,0.005433841873793293
4135,-0.041037142757991835,-0.051296428447489786,-0.0718149998264857,407.57433775690674,407.5983721518976,0.00410622992386719
4136,-0.04003958773830121,-0.055054433140164165,-0.07006927854202713,408.83669979888765,408.86290964786497,0.004708447694993976
4137,-0.0389989452767187,-0.05849841791507804,-0.06824815423425772,409.71806781216634,409.7460098287193,0.005349014688357749
4138,-0.03792941230482391,-0.06163529499533884,-0.06637647153344184,410.26079334530476,410.28321573984186,0.00435276519351865
4139,-0.03376103624005026,0.06269906730295048,-0.06752207248010052,410.2585507682786,410.25448856325414,0.003587708314242897
4140,-0.03480223861519389,0.05966098048318952,-0.06960447723038778,410.61699084511923,410.62282620341966,0.0013004811045744047
4141,-0.035827629016679186,0.056300559883353,-0.07165525803335837,410.573833274157,410.5701162789991,0.0007703166405590596
4142,-0.03682362393920892,0.052605177056012746,-0.07364724787841784,410.04882652269663,410.0486335146897,0.0010548353874505786
4143,-0.037775505979350206,0.04856850768773599,-0.07555101195870041,409.14929875782036,409.13918541348363,0.0017328455440063267
4144,-0.038668068185852895,0.04419207792668902,-0.07733613637170579,407.9273980098767,407.93068477334526,0.003181874089543952
4145,-0.03948645041471424,0.03948645041471424,-0.07897290082942848,406.55137585195337,406.5337592043215,0.0029795152583733447
4146,-0.04021707586913206,0.034471779316398915,-0.08043415173826413,405.0901774952514,405.0898143841958,0.001912989922843544
4147,-0.04084853151260558,0.02917752250900399,-0.08169706302521117,403.71763791206126,403.7222384539995,0.002320452273361432
4148,-0.04137219552677041,0.023641254586725956,-0.08274439105354083,402.5248592302695,402.5389272295215,0.0034024568899801376
4149,-0.041782431587392574,0.01790675639459682,-0.08356486317478515,401.5907117765029,401.60628395790627,0.0033748309855317175
4150,-0.04207626563125126,0.012021790180357508,-0.08415253126250252,400.93393979373826,400.9520327094843,0.003597375820828872
4151,-0.042252624541465285,0.006036089220209332,-0.08450524908293057,400.5599501701822,400.56912584966443,0.0015054779597284934
4152,-0.04231139060619594,-0.0,-0.08462278121239188,400.40575291543024,400.45631145441945,0.010218204582751349
4153,-0.042252624541465285,-0.0060360892202093236,-0.08450524908293057,400.5681149613813,400.5702179433889,0.004934417170974434
4154,-0.04207626563125126,-0.012021790180357497,-0.08415253126250252,400.94421437912956,400.95454098761667,0.0034050428184960735
4155,-0.041782431587392574,-0.01790675639459681,-0.08356486317478515,401.60512948020204,401.60782661063564,0.0033576888668183256
4156,-0.04137219552677041,-0.02364125458672594,-0.08274439105354083,402.5405677040496,402.5398651507,0.002385446263906555
